plot,field,year,date,score,flight_date,image_filename
1454,C6B,2024,7/29/24,6.0,7/26/24,20240726_C6B_01454.jpg
681,C7B,2025,7/10/25,7.5,7/10/25,20250710_C7B_00681.jpg
5287,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05287.jpg
5773,C10,2025,7/11/25,7.5,7/11/25,20250711_C10_05773.jpg
1675,C6B,2024,7/19/24,8.0,7/18/24,20240718_C6B_01675.jpg
2663,C7B,2025,7/8/25,7.5,7/7/25,20250707_C7B_02663.jpg
4679,C10,2025,7/20/25,2.5,7/21/25,20250721_C10_04679.jpg
1495,C6B,2024,7/19/24,4.5,7/18/24,20240718_C6B_01495.jpg
339,C7B,2025,7/4/25,3.0,7/4/25,20250704_C7B_00339.jpg
2656,C7B,2025,7/18/25,7.5,7/18/25,20250718_C7B_02656.jpg
378,C6B,2024,7/19/24,8.0,7/18/24,20240718_C6B_00378.jpg
3576,C6B,2024,7/30/24,1.5,8/2/24,20240802_C6B_03576.jpg
5608,C10,2025,7/2/25,5.5,7/4/25,20250704_C10_05608.jpg
2531,C6B,2024,7/18/24,8.0,7/18/24,20240718_C6B_02531.jpg
785,C6B,2024,7/19/24,8.0,7/18/24,20240718_C6B_00785.jpg
1804,C7B,2025,7/7/25,4.0,7/7/25,20250707_C7B_01804.jpg
4400,C10,2025,6/30/25,6.0,6/28/25,20250628_C10_04400.jpg
2818,C7B,2025,7/13/25,6.0,7/12/25,20250712_C7B_02818.jpg
3914,B7A,2024,7/15/24,8.0,7/16/24,20240716_B7A_03914.jpg
1671,C7B,2025,7/19/25,4.0,7/18/25,20250718_C7B_01671.jpg
3847,B7A,2024,7/15/24,5.0,7/16/24,20240716_B7A_03847.jpg
3631,C6B,2024,7/30/24,1.5,8/2/24,20240802_C6B_03631.jpg
784,C6B,2024,7/19/24,6.5,7/18/24,20240718_C6B_00784.jpg
1065,C7B,2025,7/10/25,4.0,7/10/25,20250710_C7B_01065.jpg
1812,C7B,2025,7/1/25,6.5,7/1/25,20250701_C7B_01812.jpg
2664,C7B,2025,7/8/25,8.0,7/7/25,20250707_C7B_02664.jpg
1783,C7B,2025,7/10/25,4.0,7/10/25,20250710_C7B_01783.jpg
4303,B7A,2024,7/15/24,8.0,7/16/24,20240716_B7A_04303.jpg
3648,C6B,2024,7/30/24,3.0,8/2/24,20240802_C6B_03648.jpg
6741,C10,2025,7/14/25,7.5,7/14/25,20250714_C10_06741.jpg
3185,C6B,2024,7/30/24,2.0,8/2/24,20240802_C6B_03185.jpg
1283,C7B,2025,7/10/25,4.0,7/10/25,20250710_C7B_01283.jpg
1608,C6B,2024,7/19/24,9.0,7/18/24,20240718_C6B_01608.jpg
6011,C10,2025,7/19/25,1.0,7/18/25,20250718_C10_06011.jpg
972,C7B,2025,7/18/25,3.0,7/18/25,20250718_C7B_00972.jpg
2049,C7B,2025,7/19/25,3.0,7/18/25,20250718_C7B_02049.jpg
4244,C10,2025,7/11/25,5.0,7/11/25,20250711_C10_04244.jpg
1554,C6B,2024,7/29/24,9.0,7/26/24,20240726_C6B_01554.jpg
813,C7B,2025,7/1/25,7.0,7/1/25,20250701_C7B_00813.jpg
5549,C10,2025,7/20/25,2.5,7/21/25,20250721_C10_05549.jpg
5332,C10,2025,7/2/25,6.0,7/4/25,20250704_C10_05332.jpg
4128,C10,2025,7/19/25,2.5,7/18/25,20250718_C10_04128.jpg
802,C6B,2024,7/29/24,3.0,7/26/24,20240726_C6B_00802.jpg
4177,B7A,2024,7/15/24,6.0,7/16/24,20240716_B7A_04177.jpg
2939,C6B,2024,7/15/24,8.0,7/18/24,20240718_C6B_02939.jpg
5631,C10,2025,7/20/25,3.0,7/21/25,20250721_C10_05631.jpg
2044,C6B,2024,7/29/24,4.0,7/26/24,20240726_C6B_02044.jpg
281,C7B,2025,7/4/25,7.0,7/4/25,20250704_C7B_00281.jpg
1957,C7B,2025,7/10/25,7.5,7/10/25,20250710_C7B_01957.jpg
5519,B7A,2024,7/18/24,5.5,7/16/24,20240716_B7A_05519.jpg
4318,C10,2025,7/7/25,5.0,7/7/25,20250707_C10_04318.jpg
4000,C10,2025,7/7/25,7.0,7/7/25,20250707_C10_04000.jpg
4410,C10,2025,6/30/25,5.0,6/28/25,20250628_C10_04410.jpg
3523,C6B,2024,7/30/24,3.0,8/2/24,20240802_C6B_03523.jpg
1659,C6B,2024,7/19/24,7.5,7/18/24,20240718_C6B_01659.jpg
1894,C6B,2024,7/29/24,2.0,7/26/24,20240726_C6B_01894.jpg
1375,C7B,2025,7/1/25,7.0,7/1/25,20250701_C7B_01375.jpg
863,C6B,2024,7/29/24,6.5,7/26/24,20240726_C6B_00863.jpg
3832,B7A,2024,7/15/24,7.5,7/16/24,20240716_B7A_03832.jpg
6734,C10,2025,7/8/25,8.5,7/7/25,20250707_C10_06734.jpg
445,C7B,2025,7/4/25,7.5,7/4/25,20250704_C7B_00445.jpg
4332,C10,2025,7/11/25,7.0,7/11/25,20250711_C10_04332.jpg
1393,C7B,2025,7/18/25,2.0,7/18/25,20250718_C7B_01393.jpg
2909,C6B,2024,7/15/24,6.5,7/18/24,20240718_C6B_02909.jpg
4663,B7A,2024,7/30/24,2.0,7/27/24,20240727_B7A_04663.jpg
4603,B7A,2024,7/15/24,8.0,7/16/24,20240716_B7A_04603.jpg
2865,C6B,2024,7/30/24,3.0,8/2/24,20240802_C6B_02865.jpg
6833,C10,2025,7/14/25,6.0,7/14/25,20250714_C10_06833.jpg
4145,B7A,2024,7/30/24,5.0,7/27/24,20240727_B7A_04145.jpg
3437,C6B,2024,7/15/24,7.0,7/18/24,20240718_C6B_03437.jpg
5524,B7A,2024,7/27/24,2.0,7/27/24,20240727_B7A_05524.jpg
5570,B7A,2024,7/1/24,7.5,7/3/24,20240703_B7A_05570.jpg
3801,C6B,2024,7/30/24,1.5,8/2/24,20240802_C6B_03801.jpg
3240,C6B,2024,7/15/24,8.5,7/18/24,20240718_C6B_03240.jpg
5430,C10,2025,7/11/25,4.0,7/11/25,20250711_C10_05430.jpg
715,C7B,2025,6/30/25,7.5,7/1/25,20250701_C7B_00715.jpg
891,C7B,2025,7/18/25,2.0,7/18/25,20250718_C7B_00891.jpg
887,C7B,2025,7/18/25,4.0,7/18/25,20250718_C7B_00887.jpg
3418,C6B,2024,7/15/24,8.5,7/18/24,20240718_C6B_03418.jpg
2727,C6B,2024,7/15/24,7.0,7/18/24,20240718_C6B_02727.jpg
3059,C6B,2024,7/15/24,7.5,7/18/24,20240718_C6B_03059.jpg
4646,C10,2025,7/11/25,5.0,7/11/25,20250711_C10_04646.jpg
