plot,field,year,date,score,flight_date,image_filename,signed_days_diff,_abs_path
10906,I3B,2023,7/19/23,4.5,7/20/23,20230720_I3B_10906.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_10906.jpg
3158,G3,2023,7/26/23,4.0,7/27/23,20230727_G3_03158.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_03158.jpg
2005,C6B,2024,7/19/24,8.0,7/18/24,20240718_C6B_02005.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_02005.jpg
7498,G3,2023,7/26/23,5.0,7/27/23,20230727_G3_07498.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07498.jpg
7307,G3,2023,7/26/23,5.0,7/27/23,20230727_G3_07307.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07307.jpg
9700,I3B,2023,7/12/23,5.0,7/13/23,20230713_I3B_09700.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09700.jpg
11274,I3B,2023,7/19/23,7.5,7/20/23,20230720_I3B_11274.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_11274.jpg
8051,G3,2023,7/19/23,7.5,7/20/23,20230720_G3_08051.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_08051.jpg
1585,C6B,2024,7/29/24,4.0,7/26/24,20240726_C6B_01585.jpg,-3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240726_C6B_01585.jpg
10266,I3B,2023,7/25/23,6.0,7/27/23,20230727_I3B_10266.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_I3B_10266.jpg
7259,G3,2023,7/19/23,5.0,7/20/23,20230720_G3_07259.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_07259.jpg
9847,I3B,2023,7/12/23,5.0,7/13/23,20230713_I3B_09847.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09847.jpg
169,C6B,2024,7/19/24,7.0,7/18/24,20240718_C6B_00169.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_00169.jpg
8081,G3,2023,7/26/23,4.0,7/27/23,20230727_G3_08081.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_08081.jpg
8018,G3,2023,7/19/23,8.5,7/20/23,20230720_G3_08018.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_08018.jpg
209,C6B,2024,7/19/24,8.5,7/18/24,20240718_C6B_00209.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_00209.jpg
734,C6B,2024,7/19/24,8.5,7/18/24,20240718_C6B_00734.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_00734.jpg
574,C6B,2024,7/19/24,8.5,7/18/24,20240718_C6B_00574.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_00574.jpg
7204,G3,2023,7/26/23,6.0,7/27/23,20230727_G3_07204.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07204.jpg
3964,B7A,2024,7/15/24,4.0,7/16/24,20240716_B7A_03964.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240716_B7A_03964.jpg
312,C6B,2024,7/29/24,3.5,7/26/24,20240726_C6B_00312.jpg,-3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240726_C6B_00312.jpg
7431,G3,2023,7/26/23,4.0,7/27/23,20230727_G3_07431.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07431.jpg
3562,C6B,2024,7/30/24,1.5,8/2/24,20240802_C6B_03562.jpg,3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240802_C6B_03562.jpg
10981,I3B,2023,7/19/23,6.0,7/20/23,20230720_I3B_10981.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_10981.jpg
8013,G3,2023,7/26/23,4.5,7/27/23,20230727_G3_08013.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_08013.jpg
10276,I3B,2023,7/25/23,3.0,7/27/23,20230727_I3B_10276.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_I3B_10276.jpg
294,C6B,2024,7/19/24,8.5,7/18/24,20240718_C6B_00294.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_00294.jpg
7235,G3,2023,7/19/23,4.5,7/20/23,20230720_G3_07235.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_07235.jpg
4043,B7A,2024,7/15/24,5.0,7/16/24,20240716_B7A_04043.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240716_B7A_04043.jpg
9653,I3B,2023,7/12/23,5.0,7/13/23,20230713_I3B_09653.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09653.jpg
764,C6B,2024,7/19/24,7.5,7/18/24,20240718_C6B_00764.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_00764.jpg
8132,G3,2023,7/26/23,6.0,7/27/23,20230727_G3_08132.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_08132.jpg
7289,G3,2023,7/20/23,8.0,7/20/23,20230720_G3_07289.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_07289.jpg
4216,B7A,2024,7/30/24,6.0,7/27/24,20240727_B7A_04216.jpg,-3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240727_B7A_04216.jpg
7421,G3,2023,7/26/23,5.0,7/27/23,20230727_G3_07421.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07421.jpg
7241,G3,2023,7/19/23,7.5,7/20/23,20230720_G3_07241.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_07241.jpg
9719,I3B,2023,7/12/23,5.0,7/13/23,20230713_I3B_09719.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09719.jpg
11100,I3B,2023,7/12/23,8.0,7/13/23,20230713_I3B_11100.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_11100.jpg
1075,C6B,2024,7/19/24,8.0,7/18/24,20240718_C6B_01075.jpg,-1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_01075.jpg
10961,I3B,2023,7/19/23,5.5,7/20/23,20230720_I3B_10961.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_10961.jpg
7375,G3,2023,7/26/23,5.0,7/27/23,20230727_G3_07375.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07375.jpg
2969,C6B,2024,7/30/24,3.0,8/2/24,20240802_C6B_02969.jpg,3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240802_C6B_02969.jpg
3116,G3,2023,7/26/23,8.0,7/27/23,20230727_G3_03116.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_03116.jpg
3069,C6B,2024,7/30/24,1.0,8/2/24,20240802_C6B_03069.jpg,3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240802_C6B_03069.jpg
4431,B7A,2024,7/30/24,1.0,7/27/24,20240727_B7A_04431.jpg,-3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240727_B7A_04431.jpg
3162,G3,2023,7/19/23,7.0,7/20/23,20230720_G3_03162.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_03162.jpg
7341,G3,2023,7/26/23,7.5,7/27/23,20230727_G3_07341.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07341.jpg
8067,G3,2023,7/19/23,6.0,7/20/23,20230720_G3_08067.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_08067.jpg
7518,G3,2023,7/26/23,5.0,7/27/23,20230727_G3_07518.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_07518.jpg
3151,G3,2023,7/26/23,3.0,7/27/23,20230727_G3_03151.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230727_G3_03151.jpg
3176,G3,2023,7/19/23,8.5,7/20/23,20230720_G3_03176.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_03176.jpg
3410,C6B,2024,7/15/24,8.0,7/18/24,20240718_C6B_03410.jpg,3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240718_C6B_03410.jpg
9639,I3B,2023,7/12/23,6.0,7/13/23,20230713_I3B_09639.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230713_I3B_09639.jpg
10963,I3B,2023,7/19/23,5.5,7/20/23,20230720_I3B_10963.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_I3B_10963.jpg
7304,G3,2023,7/20/23,7.5,7/20/23,20230720_G3_07304.jpg,0,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_07304.jpg
654,C6B,2024,7/29/24,4.0,7/26/24,20240726_C6B_00654.jpg,-3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240726_C6B_00654.jpg
3169,C6B,2024,7/30/24,3.0,8/2/24,20240802_C6B_03169.jpg,3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240802_C6B_03169.jpg
3458,C6B,2024,7/30/24,3.0,8/2/24,20240802_C6B_03458.jpg,3,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240802_C6B_03458.jpg
5516,B7A,2024,7/1/24,8.0,7/3/24,20240703_B7A_05516.jpg,2,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20240703_B7A_05516.jpg
8014,G3,2023,7/19/23,7.5,7/20/23,20230720_G3_08014.jpg,1,/mnt/research-projects/j/jlgage/RawUAVData01/uavforslb/final_image/final_sliced/20230720_G3_08014.jpg
